Youtuber,subscribers,video views,uploads,Country,channel_type,lowest_yearly_earnings,earnings_midpoint,highest_yearly_earnings
Masha and The Bear,42400000,24519022988.0,1218,United States,Film,2000000.0,17100000.0,32200000.0
Like Nastya Show,42400000,19547696190.0,618,United States,Entertainment,159600.0,1379800.0,2600000.0
Rihanna,41900000,22477745835.0,84,Barbados,Music,548800.0,4674400.0,8800000.0
Ishtar Music,41400000,17608931161.0,4510,India,Music,542800.0,4621400.0,8700000.0
Kimberly Loaiza,41300000,5603111948.0,291,Mexico,People,410200.0,3505100.0,6600000.0
Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833.0,2423,United States,Education,296300.0,2498150.0,4700000.0
Luisito Comunica,40600000,8670473639.0,0,Mexico,Comedy,0.0,0.0,0.0
elrubiusOMG,40400000,7410536668.0,703,Unknown,Entertainment,17300.0,147200.0,277100.0
Toys and Colors,40300000,47005053156.0,4,Unknown,People,0.02,0.13,0.24
shfa2 - ï¿½ï¿½,39700000,23884824160.0,1596,United Arab Emirates,People,743200.0,6321600.0,11900000.0
LUCCAS NETO - LUCCAS TOON,39400000,22302547082.0,1,Unknown,Games,0.01,0.055,0.1
CarryMinati,39200000,3294013141.0,186,India,Comedy,236100.0,2018050.0,3800000.0
XXXTENTACION,39200000,10507474316.0,133,United States,Music,175100.0,1487550.0,2800000.0
Super Simple Songs - Kids Songs,39200000,44900897958.0,744,Canada,Education,1700000.0,14300000.0,26900000.0
Mikecrack,39100000,16118181673.0,1876,Spain,Games,792300.0,6746150.0,12700000.0
WorkpointOfficial,39000000,36131228583.0,72580,Thailand,Entertainment,391400.0,3345700.0,6300000.0
GR6 EXPLODE,38900000,25154232306.0,3043,Brazil,Music,4900000.0,41700000.0,78500000.0
TEDx Talks,38600000,7339333120.0,200933,United States,Nonprofit,136900.0,1168450.0,2200000.0
shfa,38400000,21528116909.0,982,Saudi Arabia,Games,4800.0,40550.0,76300.0
Goldmines Gaane Sune Ansune,38300000,16718192386.0,3532,India,Music,2400000.0,20750000.0,39100000.0
One Direction,38200000,13598903820.0,11,United States,Music,19.0,162.0,305.0
TheEllenShow,38200000,22756581750.0,15672,United States,Entertainment,65400.0,532700.0,1000000.0
Sony PAL,38200000,28519339489.0,24089,India,Entertainment,1200000.0,10600000.0,20000000.0
Daddy Yankee,38000000,22731415608.0,505,United States,Music,616800.0,5258400.0,9900000.0
Vlad vï¿½ï¿½ï,37900000,23510152352.0,515,United States,Entertainment,732300.0,6216150.0,11700000.0
Like Nastya ESP,37600000,18208196857.0,743,United States,Entertainment,963100.0,8181550.0,15400000.0
ýýýýýýýýýýýý one31,37500000,27262462114.0,117152,Thailand,Entertainment,422300.0,3611150.0,6800000.0
Jkk Entertainment,37200000,16402066717.0,220,India,Comedy,149600.0,1274800.0,2400000.0
ABP NEWS,37000000,13102611515.0,301308,India,News,801200.0,6800600.0,12800000.0
Maria Clara & JP,37000000,24188861917.0,744,Brazil,Entertainment,754300.0,6427150.0,12100000.0
Bruno Mars,36700000,19378155425.0,99,United States,Music,525700.0,4462850.0,8400000.0
Maroon 5,36600000,22553923546.0,171,United States,Music,458500.0,3879250.0,7300000.0
Ultra Bollywood,36600000,15653786446.0,9168,India,Entertainment,0.0,0.0,0.0
PowerKids TV,36500000,18961241905.0,5621,Unknown,Film,956100.0,8128050.0,15300000.0
YouTube,36300000,3010784935.0,744,United States,Entertainment,63300.0,531650.0,1000000.0
News,36300000,0.0,0,Unknown,,0.0,0.0,0.0
Ozuna,36200000,23355801606.0,196,Unknown,Music,507700.0,4303850.0,8100000.0
MrBeast Gaming,36100000,6331332547.0,5,Unknown,Comedy,0.1,1.05,2.0
La Granja de Zenï¿½,35700000,27118354077.0,654,Argentina,Music,906200.0,7703100.0,14500000.0
Saregama Music,35500000,15657673422.0,7566,India,Music,1600000.0,13600000.0,25600000.0
IndiaTV,35500000,16105023749.0,273255,India,News,872500.0,7436250.0,14000000.0
T-Series Bollywood Classics,35400000,22637783517.0,2010,India,Music,994400.0,8447200.0,15900000.0
Total Gaming,35400000,5556364230.0,1,Unknown,Autos,0.16,1.58,3.0
Markiplier,35200000,20297931219.0,5490,United States,Games,382000.0,3241000.0,6100000.0
Ryan's World,35200000,55299840198.0,2453,United States,Entertainment,715800.0,6107900.0,11500000.0
Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308.0,617,United States,Film,1000000.0,8550000.0,16100000.0
T-Series Apna Punjab,34600000,21306315429.0,0,Unknown,News,0.0,0.0,0.0
Techno Gamerz,34400000,9690499664.0,1,Unknown,Games,0.26,2.13,4.0
Geet MP3,34300000,12746535822.0,679,India,Music,304100.0,2602050.0,4900000.0
J Balvin,34100000,23005313609.0,141,Colombia,Music,386100.0,3293050.0,6200000.0
Jess No Limit,34000000,3963007415.0,2284,Indonesia,Entertainment,1600000.0,13950000.0,26300000.0
Jingle Toons,34000000,11351015824.0,240,India,Film,539700.0,4569850.0,8600000.0
VEGETTA777,33800000,15432929204.0,7606,Spain,Games,117300.0,1008650.0,1900000.0
Galinha Pintadinha,33800000,27274550757.0,66,Brazil,Film,1200000.0,10300000.0,19400000.0
SSSniperWolf,33700000,23492684419.0,3366,United States,Entertainment,632900.0,5366450.0,10100000.0
Desi Music Factory,33700000,10189027455.0,2,Unknown,Music,0.0,0.0,0.0
Selena Gomez,33600000,13013567335.0,188,United States,Music,347400.0,2973700.0,5600000.0
Rajshri,33500000,14864294792.0,3741,India,Entertainment,816800.0,6958400.0,13100000.0
Ch3Thailand,33500000,29611914495.0,96214,Thailand,Entertainment,0.0,0.0,0.0
KHANDESHI MOVIES,33500000,11405809704.0,217,India,Comedy,74200.0,637100.0,1200000.0
NoCopyrightSounds,33400000,10530729078.0,1331,United Kingdom,Music,167000.0,1433500.0,2700000.0
CVS 3D Rhymes & Kids Songs,33400000,20269857567.0,338,India,Education,408300.0,3454150.0,6500000.0
Ricis Official,33300000,5994136760.0,2736,Indonesia,Entertainment,471300.0,3985650.0,7500000.0
BabyBus - Kids Songs and Cartoons,32800000,26355088167.0,2122,United States,Education,382500.0,3241250.0,6100000.0
Eros Now Music,32700000,17853798780.0,1521,India,Entertainment,60800.0,516700.0,972600.0
BETER Bï¿½ï¿½,32700000,19180039918.0,2738,Turkey,Games,4400000.0,37300000.0,70200000.0
DisneyMusicVEVO,32700000,28516250629.0,2068,United States,Music,989600.0,8394800.0,15800000.0
The Weeknd,32600000,23379969006.0,169,Canada,Music,1100000.0,9500000.0,17900000.0
WowKidz,32200000,16613441479.0,2,Unknown,Entertainment,0.0,0.025,0.05
KAROL G,32100000,18699145555.0,134,Colombia,Music,1400000.0,11900000.0,22400000.0
Mr Bean,32100000,10602236110.0,3091,United Kingdom,Comedy,169600.0,1434800.0,2700000.0
rezendeevil,32100000,13061739758.0,11882,Brazil,Entertainment,133500.0,1116750.0,2100000.0
StarPlus,32000000,26800674545.0,44892,India,Entertainment,5000000.0,42500000.0,80000000.0
SMTOWN,31900000,27330239663.0,4158,Unknown,Music,700200.0,5950100.0,11200000.0
GMA  Network,31900000,19428308461.0,93311,Philippines,Entertainment,2400000.0,20350000.0,38300000.0
GENIAL,31800000,6762424690.0,6734,Mexico,Howto,94400.0,797200.0,1500000.0
MR. INDIAN HACKER,31700000,5711208484.0,929,India,Tech,327400.0,2763700.0,5200000.0
Worldwide Records Bhojpuri,31700000,16476978876.0,6518,India,Music,337900.0,2868950.0,5400000.0
